,Borough,Neighborhood,Latitude,Longitude
105,West Seattle,North Admiral ,47.5811953,-122.3865457
106,West Seattle,Junction ,47.544872,-122.38721480000001
107,West Seattle,Seaview ,47.671282399999996,-122.40528259999999
108,West Seattle,Fairmount Park,47.57985125,-122.382251406113
109,West Seattle,Genesee,47.5648206,-122.36790479999999
110,West Seattle,Gatewood,47.536559600000004,-122.385326
111,West Seattle,Fauntleroy,47.5223995,-122.39341680000001
112,West Seattle,Arbor Heights,47.512899,-122.38135849999999
113,West Seattle ,Delridge,47.5521233,-122.36387409999999
114,Delridge,North Delridge,47.5521233,-122.36387409999999
115,Delridge,Pigeon Point,47.5711631,-122.3592519
116,Delridge,Riverview,47.539382700000004,-122.349166722478
117,Delridge,Highland Park,47.528432,-122.3526261
118,Delridge,South Delridge,47.5521233,-122.36387409999999
119,Delridge,Roxhill,47.51921415,-122.368598517257
120,Delridge,High Point,47.5384514,-122.37738689999999
