,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
54,Bitter Lake,47.7262358,-122.3487639,Lindon Square Fitness Room,47.72815375,-122.34709984444446,Gym
55,Bitter Lake,47.7262358,-122.3487639,Jimmy John's,47.72604975923937,-122.34446134639256,Sandwich Place
56,Bitter Lake,47.7262358,-122.3487639,Dollar Tree,47.72506296085618,-122.34667219311315,Discount Store
57,North Beach ,47.6962103,-122.392362,Blue Ridge Beach Park,47.699010840418694,-122.39413534498136,Beach
58,North Beach ,47.6962103,-122.392362,Kayla Kaka,47.694631,-122.397847,Scenic Lookout
59,North Beach ,47.6962103,-122.392362,North Beach Park,47.694528948709,-122.38750060973493,Park
60,North Beach ,47.6962103,-122.392362,North Beach Beach Club,47.69895838377182,-122.39412676705783,Beach
61,Crown Hill,47.6947154,-122.37145859999998,Wild Mountain Cafe,47.69077875358802,-122.37455876932466,American Restaurant
62,Crown Hill,47.6947154,-122.37145859999998,Gourmet Latte,47.694161255417605,-122.3757177338358,Coffee Shop
63,Crown Hill,47.6947154,-122.37145859999998,Atlas Coffee Importers,47.69055586325896,-122.37372506316362,Coffee Shop
64,Crown Hill,47.6947154,-122.37145859999998,The Thirsty Fish,47.69521376887744,-122.37527285292575,Sports Bar
65,Crown Hill,47.6947154,-122.37145859999998,Crown Hill Pet Supply,47.69564161291369,-122.37463462852224,Pet Store
66,Crown Hill,47.6947154,-122.37145859999998,SUBWAY,47.69404568740629,-122.37640234761038,Sandwich Place
67,Crown Hill,47.6947154,-122.37145859999998,Petco,47.693802230348986,-122.37589311010498,Pet Store
68,Crown Hill,47.6947154,-122.37145859999998,Burrito Loco,47.69685924053192,-122.3721170425415,Mexican Restaurant
69,Crown Hill,47.6947154,-122.37145859999998,Baja Tacos & Beer,47.69683424779542,-122.37208538450965,Taco Place
70,Crown Hill,47.6947154,-122.37145859999998,Holy Grounds Coffee House,47.69445984810628,-122.3749041734281,Coffee Shop
71,Crown Hill,47.6947154,-122.37145859999998,Dick's Drive-In,47.69650043366759,-122.37174788240405,Burger Joint
72,Crown Hill,47.6947154,-122.37145859999998,Papa John's Pizza,47.69452860259097,-122.37503125502072,Pizza Place
73,Crown Hill,47.6947154,-122.37145859999998,Grocery Outlet,47.6928359984763,-122.3762816038041,Grocery Store
74,Greenwood,47.6909806,-122.3548773,Coindexter's,47.69159191611602,-122.35507513667616,Arcade
75,Greenwood,47.6909806,-122.3548773,The Cunning Crow Apothecary,47.6948,-122.35488,Herbs & Spices Store
76,Greenwood,47.6909806,-122.3548773,La Conasupo,47.69106170847363,-122.35521414187436,Mexican Restaurant
77,Greenwood,47.6909806,-122.3548773,FlintCreek Cattle Co.,47.690559633168526,-122.35542071893997,Steakhouse
78,Greenwood,47.6909806,-122.3548773,The Olive & Grape,47.690844997634954,-122.35514050115624,Mediterranean Restaurant
79,Greenwood,47.6909806,-122.3548773,Razzi's Pizzeria,47.6911066364738,-122.35536215957266,Pizza Place
80,Greenwood,47.6909806,-122.3548773,Flying Bike Cooperative Brewery,47.692122768749485,-122.35517491863925,Brewery
81,Greenwood,47.6909806,-122.3548773,Hazel Salon & Organics,47.6892568436999,-122.35540307168867,Spa
82,Greenwood,47.6909806,-122.3548773,Stage Door Cafe,47.69065433624437,-122.3560001682221,Café
83,Greenwood,47.6909806,-122.3548773,Shanghai Room,47.692263316648685,-122.35511558854364,Lounge
84,Greenwood,47.6909806,-122.3548773,Top Ten Toys,47.69112635768305,-122.35704998869059,Bookstore
85,Greenwood,47.6909806,-122.3548773,Monkey Grind Espresso Bar,47.69065857179805,-122.35136264389898,Coffee Shop
86,Greenwood,47.6909806,-122.3548773,Stacia's Gourmet Pizza and Pasta,47.69050157313432,-122.36102827492348,Pizza Place
87,Greenwood,47.6909806,-122.3548773,Dreamstrands Comics and Collectibles,47.6906343647936,-122.35737119790862,Comic Shop
88,Greenwood,47.6909806,-122.3548773,Diva Espresso,47.686910158926665,-122.35514211920531,Coffee Shop
89,Greenwood,47.6909806,-122.3548773,Starbucks,47.69170754629118,-122.35887839359094,Coffee Shop
90,Greenwood,47.6909806,-122.3548773,Starbucks,47.69273887290132,-122.35526083213821,Coffee Shop
91,Greenwood,47.6909806,-122.3548773,Couth Buzzard Books,47.68950915071044,-122.35513244773722,Bookstore
92,Greenwood,47.6909806,-122.3548773,Taqueria Tequila,47.69041086631398,-122.36079979248916,Mexican Restaurant
93,Greenwood,47.6909806,-122.3548773,Chocolati Greenwood,47.68973167737688,-122.3556025434268,Coffee Shop
94,Greenwood,47.6909806,-122.3548773,The Lash and Wax Boutique,47.69049438,-122.3518102,Spa
95,Greenwood,47.6909806,-122.3548773,Hummus Cafe,47.69059029580317,-122.35524091090781,Middle Eastern Restaurant
96,Greenwood,47.6909806,-122.3548773,Murray's Cheese,47.69088476066397,-122.35922625070627,Cheese Shop
97,Greenwood,47.6909806,-122.3548773,Fred Meyer,47.6919188,-122.3590789,Supermarket
98,Greenwood,47.6909806,-122.3548773,North Star Diner,47.6923012626954,-122.35509140966862,Diner
99,Greenwood,47.6909806,-122.3548773,The Pocket Theater,47.68957390741138,-122.35510818410013,Theater
100,Greenwood,47.6909806,-122.3548773,The Yard Cafe,47.68955027872185,-122.35549240832096,Bar
101,Greenwood,47.6909806,-122.3548773,Georgia's Greek Restaurant & Deli,47.69033787413085,-122.35946286850836,Greek Restaurant
102,Greenwood,47.6909806,-122.3548773,Redbox,47.6903425578947,-122.35945364230425,Video Store
103,Greenwood,47.6909806,-122.3548773,North Seattle Boys & Girls Club,47.69211479467258,-122.35011568919292,Athletics & Sports
104,Greenwood,47.6909806,-122.3548773,Mud Bay,47.69163524626908,-122.35762291094933,Pet Store
105,Greenwood,47.6909806,-122.3548773,Coyle's Bakeshop,47.689236215249444,-122.35517011723962,Bakery
106,Greenwood,47.6909806,-122.3548773,Ladywell's Vitality Spa & Sauna,47.691412045398486,-122.35739042430747,Spa
107,Greenwood,47.6909806,-122.3548773,Gorditos,47.6905423106435,-122.35573931883447,Mexican Restaurant
108,Greenwood,47.6909806,-122.3548773,Gainsbourg,47.69142155514444,-122.35514729320126,French Restaurant
109,Greenwood,47.6909806,-122.3548773,I Do Bridal,47.69065241364169,-122.3528250905546,Bridal Shop
110,Greenwood,47.6909806,-122.3548773,The Cozy Nut Tavern,47.69054729248996,-122.3567953099054,Bar
111,Greenwood,47.6909806,-122.3548773,American Dance Institute,47.687196053204566,-122.35562015881887,Dance Studio
112,Greenwood,47.6909806,-122.3548773,The Angry Beaver,47.69026830186801,-122.35509724015354,Sports Bar
113,Greenwood,47.6909806,-122.3548773,Green Bean Coffeehouse,47.69133229537502,-122.3555159755155,Coffee Shop
114,Greenwood,47.6909806,-122.3548773,The Fiber Gallery,47.688970442596435,-122.35524773244776,Arts & Crafts Store
115,Greenwood,47.6909806,-122.3548773,Urban Light Studios,47.691616293643314,-122.35590854842854,Event Space
116,Greenwood,47.6909806,-122.3548773,Greenwood Space Travel Supply Co.,47.690371184495646,-122.3550960428387,Toy / Game Store
117,Greenwood,47.6909806,-122.3548773,Greenwood Park,47.69314988016651,-122.3508102401744,Playground
118,Greenwood,47.6909806,-122.3548773,Valhalla Sandwiches,47.68858204789275,-122.35509863221664,Sandwich Place
119,Northgate,47.7131534,-122.3212307,Gyro Hut,47.70946203342882,-122.3202381978451,Greek Restaurant
120,Northgate,47.7131534,-122.3212307,WW (Weight Watchers),47.70960750225302,-122.31891590388562,Weight Loss Center
121,Northgate,47.7131534,-122.3212307,Big 5 Sporting Goods,47.7095831431527,-122.31997067046863,Sporting Goods Shop
122,Northgate,47.7131534,-122.3212307,Greenlake Jewelry Works,47.708819444046256,-122.32102279105015,Jewelry Store
123,Northgate,47.7131534,-122.3212307,Hubbard Homestead Park,47.7099925593979,-122.32460975646973,Park
124,Northgate,47.7131534,-122.3212307,Party @ Display & Costume,47.709856254398304,-122.31846100844366,Arts & Crafts Store
125,Northgate,47.7131534,-122.3212307,T.J. Maxx,47.7094038983558,-122.318446170629,Department Store
126,Northgate,47.7131534,-122.3212307,Hot Yoga Inc.,47.70965413286282,-122.31979705908857,Yoga Studio
127,Northgate,47.7131534,-122.3212307,Pacific Fabrics,47.709566313517506,-122.31954605581706,Arts & Crafts Store
128,Northgate,47.7131534,-122.3212307,Starbucks,47.70870573943246,-122.32133339227074,Coffee Shop
129,Northgate,47.7131534,-122.3212307,Batteries Plus Bulbs,47.70868714,-122.3217796,Other Repair Shop
130,Northgate,47.7131534,-122.3212307,Redbox,47.709369,-122.317851,Video Store
131,Northgate,47.7131534,-122.3212307,Domino's Pizza,47.70945027655017,-122.32355254321646,Pizza Place
132,Northgate,47.7131534,-122.3212307,Yo Swirl,47.7147699328407,-122.31906707321184,Dessert Shop
133,Northgate,47.7131534,-122.3212307,Baskin-Robbins,47.70958172451543,-122.31923012067278,Ice Cream Shop
134,Northgate,47.7131534,-122.3212307,Ahadu,47.712444326801226,-122.32419732541462,Ethiopian Restaurant
135,Northgate,47.7131534,-122.3212307,Chase Bank,47.708867,-122.322168,Bank
136,Northgate,47.7131534,-122.3212307,Men's Wearhouse,47.70882663637383,-122.32289046049118,Men's Store
137,Northgate,47.7131534,-122.3212307,Taco Del Mar,47.70928491640742,-122.32034780905315,Taco Place
138,Northgate,47.7131534,-122.3212307,Quality Sewing & Vacuum,47.70959061,-122.31904303,Hobby Shop
139,Northgate,47.7131534,-122.3212307,Pinehurst Playground,47.71475045834681,-122.31906101179995,Playground
140,Northgate,47.7131534,-122.3212307,Great Dog,47.711213448262264,-122.31796531882387,Pet Service
141,Northgate,47.7131534,-122.3212307,BARK! espresso,47.71134662428971,-122.31809885315737,Dog Run
142,Haller Lake,47.72078079999999,-122.3304243,Haller Lake,47.71957885071066,-122.33409404754639,Lake
143,Haller Lake,47.72078079999999,-122.3304243,Northacres Spraypark,47.72208231994353,-122.32843973439871,Playground
144,Haller Lake,47.72078079999999,-122.3304243,Seattle Dog Barkery,47.72309965037053,-122.32875880863705,Food Truck
145,Haller Lake,47.72078079999999,-122.3304243,Northacres Off-Leash Dog Park,47.72203565154771,-122.32592430488758,Dog Run
146,Haller Lake,47.72078079999999,-122.3304243,The Bridge Coffee House,47.71742876573461,-122.33227512702229,Coffee Shop
147,Haller Lake,47.72078079999999,-122.3304243,Northacres Park,47.72168468216491,-122.3285549667155,Park
148,Pinehurst,47.6038321,-122.3300624,Bill Speidel's Underground Tour,47.602151427134864,-122.3339799842262,Tour Provider
149,Pinehurst,47.6038321,-122.3300624,The J & M Cafe,47.60086633428912,-122.33429473285466,Bar
150,Pinehurst,47.6038321,-122.3300624,Mod Pizza,47.600401,-122.333051,Pizza Place
151,Pinehurst,47.6038321,-122.3300624,Cocoa Banana,47.602905939952834,-122.33372838696017,Salad Place
152,Pinehurst,47.6038321,-122.3300624,Stockbox First Hill Grocery,47.60562938265011,-122.32446435869734,Food & Drink Shop
153,Pinehurst,47.6038321,-122.3300624,Coffee Tree & Poke,47.605903,-122.325329,Poke Place
154,Pinehurst,47.6038321,-122.3300624,Tulio Ristorante,47.60745965552962,-122.33241029083729,Italian Restaurant
155,Pinehurst,47.6038321,-122.3300624,Specialty’s Café & Bakery,47.60751624142706,-122.32929153031284,Bakery
156,Pinehurst,47.6038321,-122.3300624,Biscuit B*tch,47.603237,-122.33201,Breakfast Spot
157,Pinehurst,47.6038321,-122.3300624,Rudy's Barbershop,47.601333190859506,-122.33425357843745,Salon / Barbershop
158,Pinehurst,47.6038321,-122.3300624,The Belfry,47.599696135450195,-122.33013589313201,Antique Shop
159,Pinehurst,47.6038321,-122.3300624,SUBWAY,47.6057386335193,-122.32432027511692,Sandwich Place
160,Pinehurst,47.6038321,-122.3300624,Outlier,47.60694788656578,-122.33407258987427,New American Restaurant
161,Pinehurst,47.6038321,-122.3300624,Cafe Nordo,47.600064713932795,-122.33362390719242,Indie Theater
162,Pinehurst,47.6038321,-122.3300624,Pioneer Pet Feed & Supply,47.60088373457282,-122.33488107891347,Pet Store
163,Pinehurst,47.6038321,-122.3300624,The London Plane,47.60004034945503,-122.3328034077415,Café
164,Pinehurst,47.6038321,-122.3300624,The Bar Shoppe,47.601737052225594,-122.33312973915179,Cocktail Bar
165,Pinehurst,47.6038321,-122.3300624,Magic Mouse Toys,47.601888,-122.3345045,Toy / Game Store
166,Pinehurst,47.6038321,-122.3300624,Good Bar,47.60011606018805,-122.3315971380008,Cocktail Bar
167,Pinehurst,47.6038321,-122.3300624,The Refit Komplex,47.60532308446723,-122.32443230338504,Gym
168,Pinehurst,47.6038321,-122.3300624,Al Boccalino,47.601737138329995,-122.33587321130415,Italian Restaurant
169,Pinehurst,47.6038321,-122.3300624,Smith Tower,47.601857911501355,-122.33215205034296,Building
170,Pinehurst,47.6038321,-122.3300624,Market Fresh,47.60549706799013,-122.33387531250739,Salad Place
171,Pinehurst,47.6038321,-122.3300624,Diva Espresso,47.605119589803195,-122.32417597017948,Coffee Shop
172,Pinehurst,47.6038321,-122.3300624,Cafe Paloma,47.60178689188542,-122.33453590919352,Mediterranean Restaurant
173,Pinehurst,47.6038321,-122.3300624,Piroshki on 3rd Ave,47.60376806302969,-122.33225559408969,Eastern European Restaurant
174,Pinehurst,47.6038321,-122.3300624,The Meyer,47.6009501951858,-122.33326645876556,Nightclub
175,Pinehurst,47.6038321,-122.3300624,Merchants Cafe & Saloon,47.60180881730884,-122.3334346554722,Burger Joint
176,Pinehurst,47.6038321,-122.3300624,Columbia Center Observation Deck (Sky View Observatory),47.60459497412494,-122.33081640007372,Scenic Lookout
177,Pinehurst,47.6038321,-122.3300624,Harborview Gift Shop,47.60398218095978,-122.32416670057808,Gift Shop
178,Pinehurst,47.6038321,-122.3300624,Great State Burger,47.60638602755529,-122.33482505603139,Burger Joint
179,Pinehurst,47.6038321,-122.3300624,Storyville Coffee Company,47.60475923205166,-122.33636210125788,Coffee Shop
180,Pinehurst,47.6038321,-122.3300624,YMCA,47.60568456244552,-122.33247492105406,Gym
181,Pinehurst,47.6038321,-122.3300624,Pizza Pro,47.60142181530575,-122.33276379722038,Pizza Place
182,Pinehurst,47.6038321,-122.3300624,joybento,47.60548380864969,-122.33436105773967,Japanese Restaurant
183,Pinehurst,47.6038321,-122.3300624,Casco Antiguo,47.60116537635897,-122.33301339810762,Mexican Restaurant
184,Pinehurst,47.6038321,-122.3300624,Damn the Weather,47.601004162802,-122.334119031303,Cocktail Bar
185,Pinehurst,47.6038321,-122.3300624,Flatstick Pub,47.6001432,-122.3310024,Beer Bar
186,Pinehurst,47.6038321,-122.3300624,Kigo Kitchen,47.60155478035553,-122.33425286632,Asian Restaurant
187,Pinehurst,47.6038321,-122.3300624,Poke Alice,47.60583556360035,-122.3356464386223,Poke Place
188,Pinehurst,47.6038321,-122.3300624,Hole in the Wall Barbecue,47.60252461593436,-122.33200931101842,BBQ Joint
189,Pinehurst,47.6038321,-122.3300624,Coffee Tree,47.60738843604867,-122.32800294217752,Coffee Shop
190,Pinehurst,47.6038321,-122.3300624,Il Corvo,47.602521877965955,-122.33195233639914,Italian Restaurant
191,Pinehurst,47.6038321,-122.3300624,The Halal Guys,47.60182431485794,-122.33358371062512,Halal Restaurant
192,Pinehurst,47.6038321,-122.3300624,Tsukushinbo,47.59996315315612,-122.32687778842212,Japanese Restaurant
193,Pinehurst,47.6038321,-122.3300624,Manu's Bodega,47.601624579555704,-122.32965340885106,Caribbean Restaurant
194,Pinehurst,47.6038321,-122.3300624,Amazon Go,47.605985444645924,-122.33139945825612,Convenience Store
195,Pinehurst,47.6038321,-122.3300624,Slate Coffee,47.60226958101576,-122.33254930945151,Coffee Shop
196,Pinehurst,47.6038321,-122.3300624,Smith Tower Observation Deck,47.60187700905275,-122.33186550011222,Scenic Lookout
197,Pinehurst,47.6038321,-122.3300624,Sprout Salads,47.60201835603598,-122.33233112176576,Salad Place
198,Pinehurst,47.6038321,-122.3300624,Elm Coffee Roasters,47.600152370806754,-122.33094380272051,Coffee Shop
199,Pinehurst,47.6038321,-122.3300624,Metropolitan Grill,47.60461710688105,-122.33427985479376,Steakhouse
200,Pinehurst,47.6038321,-122.3300624,Fireworks,47.6004232973187,-122.33414267711825,Arts & Crafts Store
201,Pinehurst,47.6038321,-122.3300624,Caffe Vita,47.600918833557884,-122.3293074433445,Café
202,Pinehurst,47.6038321,-122.3300624,Polar Bar,47.60378341148009,-122.33151851795729,Hotel Bar
203,Pinehurst,47.6038321,-122.3300624,Sushi Kanpai,47.60744771413414,-122.32804463671569,Sushi Restaurant
204,Pinehurst,47.6038321,-122.3300624,Fuji Sushi,47.59997889966002,-122.32677392215834,Japanese Restaurant
205,Pinehurst,47.6038321,-122.3300624,Cafe Hitchcock,47.603923353088625,-122.33515922714106,Café
206,Pinehurst,47.6038321,-122.3300624,All Water Seafood & Oyster Bar,47.60513271,-122.33614927,Seafood Restaurant
207,Pinehurst,47.6038321,-122.3300624,Japantown,47.60107970972139,-122.33386768961326,Japanese Restaurant
208,Pinehurst,47.6038321,-122.3300624,Pioneer Square,47.601976647403845,-122.33389589387261,Park
209,Pinehurst,47.6038321,-122.3300624,I Heart Sushi,47.60170027724413,-122.33336727675102,Sushi Restaurant
210,Pinehurst,47.6038321,-122.3300624,Naramore Fountain,47.606440757473635,-122.32936128625585,Fountain
211,Pinehurst,47.6038321,-122.3300624,Potbelly Sandwich Shop,47.606544,-122.33512,Sandwich Place
212,Pinehurst,47.6038321,-122.3300624,Cafe Zum Zum,47.60482359427854,-122.33341450759151,Indian Restaurant
213,Pinehurst,47.6038321,-122.3300624,The Underground,47.60089818452381,-122.33303150814028,Nightclub
214,Pinehurst,47.6038321,-122.3300624,Delicatus,47.60157874689764,-122.33425268668033,Deli / Bodega
215,Pinehurst,47.6038321,-122.3300624,Salt Room Yoga,47.600140586834975,-122.33365832088505,Yoga Studio
216,Pinehurst,47.6038321,-122.3300624,Lobby Court Lounge,47.60690801277411,-122.33066294020566,Hotel Bar
217,Pinehurst,47.6038321,-122.3300624,Smith Tower Observation Bar,47.602012114767625,-122.33179258432052,Cocktail Bar
218,Pinehurst,47.6038321,-122.3300624,Top Pot Doughnuts,47.60402274781788,-122.33249924364945,Donut Shop
219,Pinehurst,47.6038321,-122.3300624,Sake Nomi,47.60094175720991,-122.33513542277242,Sake Bar
220,Pinehurst,47.6038321,-122.3300624,Juicy Cafe,47.60432935466306,-122.33095816698338,Café
221,Pinehurst,47.6038321,-122.3300624,Flame Catering Cafe,47.60221243024488,-122.3308195212156,Café
222,Pinehurst,47.6038321,-122.3300624,Cherry Street Public House,47.600450463452574,-122.33290772884978,Coffee Shop
223,Pinehurst,47.6038321,-122.3300624,Utilikilts,47.60248848510971,-122.33419395294179,Clothing Store
224,Pinehurst,47.6038321,-122.3300624,Columbia Tower Club,47.60450651693834,-122.33048379421234,Social Club
225,Pinehurst,47.6038321,-122.3300624,Retro Coffee,47.606662,-122.331461,Coffee Shop
226,Pinehurst,47.6038321,-122.3300624,Collins Pub,47.60208136178868,-122.3324258202165,Pub
227,Pinehurst,47.6038321,-122.3300624,Tat's Delicatessen,47.601901016106545,-122.3324232258795,Sandwich Place
228,Pinehurst,47.6038321,-122.3300624,Cherry Street Coffee House,47.6027673689831,-122.33415096584942,Coffee Shop
229,Pinehurst,47.6038321,-122.3300624,Homegrown Sustainable Sandwich Shop,47.60473944873601,-122.33463358404184,Sandwich Place
230,Pinehurst,47.6038321,-122.3300624,Grand Central Bakery,47.6003390934002,-122.33335862800976,Bakery
231,Pinehurst,47.6038321,-122.3300624,Julie's Garden,47.60181329521781,-122.33503636712572,Chinese Restaurant
232,Pinehurst,47.6038321,-122.3300624,Occidental Square,47.60107551122758,-122.33378655295799,Plaza
233,Pinehurst,47.6038321,-122.3300624,Renaissance Fitness Center,47.606804456437786,-122.33071665438734,Gym
234,Pinehurst,47.6038321,-122.3300624,Ferry Noodle House,47.603855123880884,-122.335833329836,Thai Restaurant
235,Pinehurst,47.6038321,-122.3300624,Bon Voyage Vintage,47.60091837638921,-122.33370535532684,Thrift / Vintage Store
236,Pinehurst,47.6038321,-122.3300624,The Central Saloon,47.600604056033774,-122.33426442258528,Dive Bar
237,Pinehurst,47.6038321,-122.3300624,Comedy Underground,47.600761750824084,-122.33383910920895,Comedy Club
238,Pinehurst,47.6038321,-122.3300624,Custom Smoothie,47.60330266440347,-122.33352102292885,Smoothie Shop
239,Pinehurst,47.6038321,-122.3300624,The Estates Wine Room,47.59979505479163,-122.33293131497437,Wine Bar
240,Pinehurst,47.6038321,-122.3300624,Waterfall Garden Park,47.6001720804735,-122.33206127298888,Park
241,Pinehurst,47.6038321,-122.3300624,Top Pot Doughnuts,47.60325,-122.33623,Donut Shop
242,Pinehurst,47.6038321,-122.3300624,Red Bowls,47.604654474206626,-122.3332111438203,Noodle House
243,Pinehurst,47.6038321,-122.3300624,The UPS Store,47.60588685156057,-122.33038644907373,Shipping Store
244,Pinehurst,47.6038321,-122.3300624,Owl N' Thistle,47.603468768567694,-122.335204395137,Irish Pub
245,Pinehurst,47.6038321,-122.3300624,Altstadt,47.60047592162763,-122.33431317191629,German Restaurant
246,Pinehurst,47.6038321,-122.3300624,Nirmal's,47.60147941695482,-122.332761631796,Indian Restaurant
247,Pinehurst,47.6038321,-122.3300624,DeliNoMore,47.60784396348422,-122.33282065579658,Deli / Bodega
248,Maple Leaf,47.6939869,-122.322905,Math N Stuff Annex,47.69600968502951,-122.31769701443353,Toy / Game Store
249,Maple Leaf,47.6939869,-122.322905,Math n Stuff,47.693820349465405,-122.31735254213164,Toy / Game Store
250,Maple Leaf,47.6939869,-122.322905,Parfait - Ice Cream Truck,47.694191958063456,-122.32207683698,Ice Cream Shop
